Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
477;35.8;3.96;1;6;130;6;5;1;0
478;30.6;1.18;1;5;125;7;4;1;1
479;34.7;7.06;1;6;130;9;6;1;1
480;21.0;0.38;1;4;100;6;4;0;0
481;16.2;-2.94;1;4;100;6;3;0;0
482;18.8;0.26;1;4;100;6;4;1;0
483;17.6;-2.62;1;4;100;7;3;1;1
484;30.4;7.20;1;4;100;9;6;0;1
485;29.8;3.16;1;7;160;6;5;3;1
486;24.5;0.62;1;4;100;6;4;2;0
487;36.2;10.60;1;4;100;9;7;1;1
488;22.4;0.46;1;4;100;6;4;0;0
489;14.0;-6.08;1;4;100;5;2;0;0
490;21.1;-2.60;1;4;100;6;3;0;0
491;14.9;-6.00;1;4;100;6;2;0;0
492;17.5;-2.84;1;4;100;6;3;1;0
493;15.9;-2.94;1;4;100;6;3;0;0
494;11.9;-9.20;1;4;100;5;1;0;0
495;26.9;4.02;1;4;100;9;5;0;1
496;22.1;0.68;1;4;100;9;4;0;1
497;19.4;0.28;1;4;100;6;4;0;0
498;23.6;3.78;1;4;100;7;5;1;1
499;34.9;16.46;1;4;100;12;9;1;2
500;17.8;-2.82;1;4;100;6;3;0;0
501;21.7;0.44;1;4;100;6;4;1;0
502;18.0;-2.84;1;4;100;6;3;0;0
503;19.4;-2.70;1;4;100;6;3;1;0
504;24.9;6.90;1;4;100;8;6;2;1
505;41.1;13.72;1;6;130;12;8;2;2
506;12.2;-9.20;1;4;100;5;1;0;0
507;21.7;0.66;1;4;100;7;4;1;1
508;40.7;23.32;1;4;100;15;11;1;3
509;33.5;1.30;1;7;155;6;4;3;0
510;25.5;6.88;1;4;100;9;6;0;1
511;25.5;0.68;1;4;100;6;4;2;0
512;30.2;4.22;1;4;100;9;5;1;1
513;20.8;0.38;1;4;100;6;4;0;0
514;13.0;-6.14;1;4;100;5;2;0;0
515;31.5;4.30;1;4;100;9;5;1;1
516;28.5;0.90;1;4;100;6;4;1;0
517;31.7;13.10;1;6;130;12;8;2;2
518;44.6;17.36;1;4;100;12;9;1;2
519;25.1;4.10;1;4;100;11;5;0;2
520;17.5;-3.22;1;6;130;6;3;1;0
521;12.7;-9.16;1;4;100;3;1;0;1
522;22.0;-2.52;1;4;100;6;3;0;0
523;13.2;-6.12;1;4;100;5;2;0;0
524;17.0;-2.88;1;5;125;6;3;1;0
525;24.3;7.02;1;4;100;9;6;0;3
526;18.8;0.22;1;4;100;6;4;0;0
527;11.0;-9.24;1;4;100;5;1;0;0
528;29.1;0.90;1;4;100;6;4;1;0
529;23.2;0.29;1;5;125;6;4;1;0
530;18.0;-2.80;1;4;100;6;3;0;0
531;40.0;19.79;1;5;125;12;10;4;2
532;30.3;3.95;1;5;125;9;5;2;1
533;42.3;16.84;1;6;130;12;9;2;3
534;30.1;0.95;1;5;125;7;4;2;1
535;22.4;3.88;1;4;100;9;5;1;2
536;32.5;1.14;1;4;100;6;4;1;0
537;26.3;0.34;1;6;130;6;4;1;0
538;23.1;3.78;1;4;100;7;5;1;1
539;38.7;13.76;1;4;100;9;8;3;1
540;19.5;-3.20;1;6;150;6;3;2;0
541;7.6;-12.50;1;4;100;3;0;0;0
542;33.5;10.62;1;4;100;12;7;0;2
543;22.8;0.52;1;4;100;6;4;2;0
544;22.3;0.43;1;7;160;6;4;2;0
545;23.3;3.72;1;4;100;9;5;0;1
546;19.9;-2.68;1;4;100;6;3;1;0
547;25.3;-2.37;1;7;160;6;3;2;0
548;25.6;7.10;1;4;100;10;6;0;2
549;25.0;6.88;1;4;100;9;6;0;1
550;47.7;29.46;1;6;150;17;13;3;4
551;15.3;-0.03;1;5;125;5;4;2;1
552;16.2;-2.72;1;4;100;6;3;0;1
553;35.6;16.78;1;4;100;12;9;0;2
554;26.5;3.40;1;6;130;6;5;1;0
555;29.1;-2.40;1;8;185;6;3;3;0
556;28.2;0.44;1;6;130;6;4;2;0
557;36.0;7.08;1;6;130;9;6;1;2
558;28.5;10.08;1;4;100;8;7;0;1
559;31.5;7.28;1;4;100;9;6;2;1
560;25.9;0.74;1;4;100;6;4;2;0
561;28.1;6.64;1;6;130;9;6;1;1
562;24.8;0.60;1;4;100;6;4;2;0
563;22.7;-2.90;1;6;130;6;3;1;0
564;24.1;-2.36;1;4;100;6;3;0;0
