Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
276;39.2;-1.17;1;7;155;8;7;3;1;20.7;6
277;73.2;-0.26;1;6;130;9;8;1;3;31.8;5
278;27.6;-3.95;1;4;100;5;5;0;2;23.4;3
279;39.1;-1.05;1;4;100;8;7;2;2;22.7;3
280;33.1;-0.96;1;5;125;8;7;3;0;20.8;3
281;34.8;-1.45;1;4;100;6;6;2;3;30.2;4
282;34.8;-2.25;1;4;100;8;6;3;0;28.9;4
283;28.9;-3.55;1;4;100;4;4;0;3;22.7;3
284;51.1;3.35;1;4;100;10;10;0;2;11.9;4
285;18.9;-5.95;1;4;100;3;2;0;0;14.2;4
286;37.7;-1.47;1;6;130;8;5;1;0;10.0;2
287;47.0;1.94;1;6;130;11;8;2;1;15.9;3
288;34.9;-1.75;1;4;100;9;5;3;1;31.8;6
289;67.5;10.55;1;4;100;17;17;1;7;33.7;2
290;53.2;4.02;1;8;180;11;10;3;4;31.0;4
291;44.9;1.95;1;4;100;9;9;3;3;30.6;2
292;30.7;-2.45;1;4;100;6;5;1;2;22.2;4
293;56.0;5.24;1;6;130;12;11;2;2;26.8;5
294;52.6;6.15;1;4;100;14;14;0;3;16.7;3
295;31.1;-1.25;1;4;100;7;6;2;2;16.5;3
296;26.8;-3.65;1;4;100;5;4;2;1;21.2;4
297;52.5;4.84;1;5;125;12;11;4;3;10.1;5
298;36.2;0.65;1;4;100;10;9;0;4;29.1;3
299;66.7;9.64;1;5;125;17;16;4;4;38.7;3
300;35.0;0.05;1;4;100;8;8;2;2;21.2;4
301;30.2;-2.65;1;4;100;7;5;2;1;21.1;3
302;46.9;1.04;1;6;130;8;7;2;2;23.7;4
303;48.3;2.55;1;4;100;11;9;3;3;41.6;4
304;65.0;7.80;1;8;200;14;12;5;2;23.6;3
305;37.0;-1.35;1;4;100;5;5;2;3;31.0;3
306;42.9;-0.47;1;6;130;8;7;1;0;22.8;4
307;58.3;6.62;1;7;160;12;12;3;4;26.0;3
308;51.9;3.94;1;6;130;13;10;1;5;16.7;4
309;41.8;1.44;1;6;130;10;8;2;3;20.2;5
310;32.9;-1.65;1;4;100;6;5;1;4;28.1;5
311;52.3;4.14;1;5;125;12;10;3;3;26.9;3
312;37.8;0.02;1;6;150;8;7;5;0;7.8;4
313;29.5;-2.45;1;4;100;5;5;0;4;21.7;4
314;49.8;5.13;1;6;150;13;12;2;3;9.0;3
315;51.6;5.64;1;7;155;15;12;2;5;15.3;4
316;21.7;-4.15;1;4;100;5;4;1;1;15.4;3
317;38.4;-1.25;1;4;100;6;4;3;3;33.4;3
318;48.3;3.74;1;6;130;13;11;2;3;18.2;4
319;49.0;2.75;1;4;100;9;9;3;4;42.0;5
320;26.6;-3.45;1;4;100;7;5;0;0;16.2;2
321;41.4;0.85;1;4;100;11;8;0;1;22.4;3
322;44.9;2.64;1;5;125;10;10;1;1;18.1;4
323;30.6;-3.75;1;4;100;4;3;1;1;25.0;5
324;26.5;-3.25;1;4;100;6;5;0;2;15.8;3
325;47.6;2.05;1;4;100;10;9;2;1;32.6;3
326;38.0;-0.15;1;4;100;9;8;0;2;15.8;3
327;47.5;1.62;1;8;160;8;7;5;0;33.4;4
328;63.0;7.55;1;4;100;14;14;2;4;56.9;2
329;30.6;-4.05;1;4;100;3;2;2;2;26.6;6
330;43.7;1.85;1;4;100;9;8;3;3;36.3;2
331;35.9;-0.06;1;5;125;9;7;2;3;10.6;4
332;44.0;0.75;1;4;100;10;7;3;1;27.6;4
333;34.8;-1.26;1;5;125;7;6;4;1;24.5;6
334;34.2;-0.58;1;6;150;8;7;3;2;14.3;4
335;37.8;-2.35;1;4;100;8;4;0;3;20.3;4
336;39.2;0.42;1;6;150;8;7;5;1;17.7;5
337;55.1;5.44;1;6;130;12;12;2;3;23.8;3
338;52.6;4.33;1;7;160;12;10;3;3;17.0;3
339;58.4;6.11;1;8;180;13;11;5;2;19.2;5
340;49.0;2.45;1;4;100;10;8;4;3;36.7;4
341;27.5;-3.15;1;4;100;6;4;2;2;20.7;5
342;22.7;-4.25;1;4;100;6;4;0;2;12.0;4
343;35.3;-0.55;1;4;100;8;7;1;2;20.6;3
344;21.7;-5.15;1;4;100;4;2;1;2;15.6;4
345;55.4;5.24;1;6;130;11;11;3;4;29.8;4
346;66.0;10.42;1;8;185;16;16;3;5;23.6;4
347;59.0;8.24;1;6;130;17;16;3;3;15.2;4
348;31.7;-2.15;1;4;100;5;5;1;3;26.7;4
349;45.8;2.14;1;5;125;9;8;2;4;9.7;3
350;26.4;-3.75;1;4;100;5;4;2;1;19.4;4
351;38.2;-0.15;1;4;100;10;7;3;1;27.9;4
352;91.0;18.22;1;7;160;25;23;4;6;15.2;4
353;37.0;-1.45;1;4;100;5;5;1;4;31.6;3
354;51.5;5.02;1;7;160;11;11;3;3;26.5;5
355;45.0;0.85;1;4;100;8;7;4;0;36.4;3
356;27.7;-3.05;1;4;100;5;5;2;1;19.3;3
357;44.4;1.55;1;4;100;11;9;0;1;39.8;4
358;48.4;2.84;1;6;130;11;10;1;1;21.7;3
359;41.5;-0.05;1;4;100;8;7;0;0;17.9;4
360;33.4;-1.75;1;4;100;6;6;2;0;23.0;2
361;27.9;-2.05;1;4;100;8;6;0;3;9.6;3
362;32.2;-1.45;1;4;100;6;6;2;1;27.8;4
363;49.2;3.85;1;4;100;14;12;1;3;37.2;3
364;44.2;1.15;1;4;100;10;8;4;1;39.9;3
365;51.7;4.45;1;4;100;12;11;0;5;37.0;2
366;62.9;9.70;1;8;200;16;15;5;5;18.9;4
367;31.3;-3.45;1;4;100;4;3;2;2;25.2;5
368;27.0;-2.35;1;4;100;8;6;2;1;20.5;4
369;58.1;5.82;1;7;160;12;11;5;2;23.5;4
370;48.4;2.52;1;7;155;10;8;4;3;20.7;4
371;59.7;7.25;1;4;100;16;14;2;3;37.3;4
372;41.4;0.52;1;7;160;8;7;5;1;26.9;4
373;40.7;1.14;1;6;130;9;8;2;2;19.0;4
374;41.3;0.45;1;4;100;9;7;4;2;35.3;5
375;21.7;-4.75;1;4;100;5;4;0;0;17.3;3
376;42.5;0.53;1;7;160;8;6;2;1;21.5;4
377;39.2;0.84;1;6;130;9;8;3;1;18.5;4
378;35.7;-0.75;1;4;100;8;7;0;0;17.4;5
379;47.8;4.04;1;5;125;12;11;2;2;19.2;5
380;46.3;0.84;1;6;130;10;6;2;2;20.1;3
381;42.8;0.64;1;5;125;8;7;5;0;12.2;3
382;37.3;0.94;1;5;125;10;9;1;2;13.0;4
383;41.2;0.45;1;4;100;8;7;1;4;26.3;2
384;67.5;11.89;1;9;220;18;18;4;5;20.9;5
385;42.1;0.94;1;5;125;9;8;3;2;23.7;3
386;32.5;-1.55;1;4;100;7;6;1;2;17.2;3
387;24.7;-4.55;1;4;100;5;3;0;2;17.4;3
388;33.1;-1.46;1;5;125;8;6;3;0;14.2;4
389;78.1;14.10;1;8;200;22;19;5;6;11.0;3
390;44.0;0.55;1;4;100;8;7;2;1;40.3;4
391;34.5;-1.65;1;4;100;7;6;0;1;18.9;3
392;68.9;5.23;1;7;160;9;9;4;1;20.2;7
393;47.1;2.02;1;7;155;8;8;4;0;18.4;4
394;54.7;4.72;1;7;160;11;10;3;3;34.3;5
395;39.5;1.05;1;4;100;9;9;2;2;28.8;3
396;42.2;2.15;1;4;100;10;9;1;5;26.0;4
397;72.0;10.84;1;5;125;17;16;6;4;39.4;4
398;30.8;-1.27;1;6;130;8;7;3;1;17.6;3
399;54.0;5.55;1;4;100;13;12;1;5;30.0;3
400;36.5;-1.27;1;6;130;8;5;2;2;12.6;6
