Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
186;22.3;-6.05;1;4;100;4;3;0;0;14.4;2
187;25.8;-4.95;1;4;100;4;4;0;0;18.4;3
188;28.8;-5.15;1;4;100;3;3;1;0;20.2;2
189;23.5;-5.85;1;4;100;3;3;0;0;17.8;4
190;29.3;-4.05;1;4;100;6;5;0;0;14.6;3
191;23.2;-6.25;1;4;100;3;2;0;1;16.5;2
192;39.4;-2.95;1;4;100;5;5;0;0;20.6;6
193;30.3;-3.65;1;4;100;6;6;0;0;23.7;3
194;23.1;-5.85;1;4;100;4;3;0;0;17.0;4
195;22.1;-6.15;1;4;100;4;3;0;0;16.9;4
196;31.7;-3.25;1;4;100;6;6;0;1;15.0;3
197;22.0;-5.55;1;4;100;4;4;0;0;13.5;2
198;30.7;-3.25;1;4;100;6;6;0;1;22.8;3
199;34.1;-4.15;1;4;100;4;4;1;1;21.9;3
200;30.8;-4.45;1;4;100;6;4;0;0;26.8;5
201;24.5;-6.35;1;4;100;3;2;0;0;19.3;5
202;21.2;-6.15;1;4;100;3;3;0;0;16.9;3
203;19.9;-6.35;1;4;100;3;3;0;0;16.3;3
204;31.3;-3.65;1;4;100;6;6;0;0;24.4;3
205;31.3;-4.05;1;4;100;5;5;0;0;25.1;3
206;36.7;-2.75;1;4;100;6;6;0;0;18.0;4
207;31.6;-4.15;1;4;100;5;5;1;0;22.5;2
208;26.6;-4.55;1;4;100;5;5;0;0;18.4;3
209;27.0;-5.45;1;4;100;3;3;0;0;23.6;3
210;33.4;-3.85;1;4;100;6;5;0;0;13.5;2
211;24.2;-5.25;1;4;100;4;4;0;0;18.8;4
212;31.6;-4.55;1;4;100;5;4;0;0;25.8;4
213;27.0;-5.55;1;4;100;3;3;1;0;21.0;3
214;36.8;-3.05;1;4;100;6;6;0;0;24.0;3
215;37.5;-4.25;1;4;100;3;3;0;0;33.0;4
216;42.7;-2.25;1;4;100;6;6;0;0;38.7;3
217;23.1;-6.05;1;4;100;3;3;0;0;17.2;3
218;24.9;-5.15;1;4;100;6;4;0;0;14.5;4
219;35.7;-2.85;1;4;100;6;6;0;0;20.7;2
220;37.6;-2.65;1;4;100;6;6;0;0;26.3;3
221;23.3;-5.95;1;4;100;3;3;1;0;17.0;3
222;38.9;-1.35;1;4;100;8;8;0;1;20.2;2
223;31.7;-3.75;1;4;100;6;6;0;0;24.0;4
224;28.1;-4.75;1;4;100;4;4;0;0;23.0;3
225;36.8;-3.35;1;4;100;6;5;0;0;16.5;3
226;21.4;-6.05;1;4;100;3;3;0;0;17.2;4
227;22.0;-6.05;1;4;100;3;3;0;0;16.8;3
228;39.5;-2.35;1;4;100;6;6;0;0;22.2;4
229;32.4;-4.25;1;4;100;4;4;0;1;17.9;2
230;30.6;-4.55;1;4;100;4;4;0;0;24.0;5
231;40.1;-2.25;1;4;100;6;6;0;1;18.2;3
232;22.6;-5.95;1;4;100;3;3;0;0;17.5;4
233;25.5;-5.25;1;4;100;4;4;0;2;20.4;5
234;41.9;-2.05;1;4;100;6;5;0;2;21.2;3
235;31.5;-3.55;1;4;100;6;6;0;0;22.0;2
236;38.3;-2.27;1;6;130;6;6;2;0;22.8;2
237;48.2;-1.37;1;6;130;6;6;1;0;17.2;6
238;56.0;0.25;1;4;100;8;7;0;1;39.2;5
239;42.2;-2.07;1;6;130;6;6;1;0;14.6;6
240;30.4;-3.55;1;4;100;6;6;1;0;25.7;3
241;22.8;-5.65;1;4;100;5;4;0;1;16.4;3
242;32.9;-3.65;1;4;100;6;5;0;0;27.0;3
243;24.6;-5.15;1;4;100;4;4;0;2;19.4;3
244;42.1;-2.15;1;5;125;6;6;1;0;23.4;2
245;28.1;-4.25;1;4;100;6;5;0;0;15.3;3
246;28.1;-3.95;1;4;100;5;5;1;2;20.1;4
247;53.4;1.15;1;6;130;9;9;1;1;32.7;2
248;20.8;-7.15;1;4;100;2;1;0;0;14.2;5
249;32.4;-2.15;1;4;100;8;8;0;1;25.5;3
250;23.6;-5.45;1;4;100;4;4;0;0;18.2;2
251;31.6;-4.85;1;4;100;5;3;0;0;17.2;5
252;33.4;-3.15;1;4;100;5;5;0;1;20.0;4
253;21.1;-6.15;1;4;100;4;3;0;0;12.8;3
254;26.1;-4.45;1;4;100;5;5;0;1;18.8;2
255;29.7;-3.85;1;4;100;5;5;0;1;22.6;4
256;22.0;-6.15;1;4;100;4;3;0;0;15.2;2
257;52.2;-0.57;1;6;130;6;6;2;0;38.1;5
258;35.9;-2.75;1;4;100;6;6;0;0;17.9;4
259;32.2;-3.85;1;4;100;5;5;0;0;26.0;2
260;25.3;-6.25;1;4;100;4;2;0;0;18.9;3
261;38.5;-3.55;1;4;100;4;4;0;1;17.8;3
262;26.7;-4.45;1;4;100;5;5;0;1;17.0;3
