Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
294;99.8;19.47;1;9;205;14;10;7;6
295;53.9;3.78;1;4;100;6;5;3;4
296;76.9;-1.42;1;5;125;5;3;3;3
297;39.6;6.16;1;4;100;6;6;0;1
298;50.9;3.14;1;6;130;6;5;1;1
299;68.1;9.44;1;6;150;9;7;6;1
300;40.3;0.38;1;4;100;5;4;2;2
301;29.3;-6.12;1;4;100;2;2;3;0
302;64.0;10.41;1;7;155;9;7;3;1
303;38.7;0.30;1;4;100;5;4;1;1
304;58.8;9.29;1;8;160;9;7;3;1
305;47.6;3.49;1;5;125;8;5;2;3
306;78.9;26.98;1;10;250;15;13;5;5
307;54.3;9.37;1;7;175;10;7;3;4
308;115.6;19.99;1;7;175;11;10;11;7
309;43.6;-0.65;1;7;175;6;4;4;0
310;59.1;0.27;1;7;155;8;4;5;3
311;90.2;7.59;1;7;160;7;6;7;2
312;44.1;0.20;1;4;100;5;4;0;0
313;72.8;10.02;1;6;130;8;7;6;4
314;31.0;0.08;1;4;100;4;4;2;2
315;84.1;4.43;1;5;125;6;5;4;4
316;15.5;-9.56;1;4;100;2;1;0;0
317;22.4;-9.34;1;4;100;3;1;0;1
318;12.7;-6.68;1;4;100;3;2;1;0
319;54.2;5.80;1;9;190;8;6;4;3
320;89.4;4.38;1;7;160;9;5;4;8
321;70.7;13.28;1;4;100;8;8;9;1
322;59.7;-5.28;1;4;100;3;2;4;4
323;48.9;6.88;1;7;155;8;6;4;2
324;51.2;0.43;1;5;125;5;4;6;1
325;35.4;0.42;1;4;100;7;4;1;3
326;46.8;6.60;1;4;100;7;6;5;1
327;37.3;0.26;1;4;100;5;4;1;2
328;42.2;2.80;1;6;130;6;5;3;1
329;35.0;-2.60;1;4;100;4;3;3;2
330;26.4;2.54;1;6;130;7;5;2;1
331;25.0;-9.28;1;4;100;2;1;2;1
332;16.8;-9.54;1;4;100;4;1;1;0
333;45.1;3.47;1;7;160;5;5;2;4
334;75.3;10.61;1;5;125;9;7;4;6
335;27.6;-9.18;1;4;100;2;1;1;1
336;42.2;-5.72;1;4;100;3;2;0;3
337;79.5;13.57;1;5;125;8;8;2;5
338;20.9;-3.42;1;4;100;4;3;0;1
339;116.8;14.08;1;8;190;12;8;5;7
340;46.4;0.02;1;6;150;6;4;4;1
341;120.1;31.89;0;7;175;14;10;6;8
342;33.1;3.29;1;6;130;6;5;1;0
343;76.1;10.40;1;6;150;10;7;6;6
344;31.6;-0.04;1;4;100;5;4;1;2
